,Unnamed: 0,unnamed_0,how_many_employees_does_your_company_or_organization_have,is_your_employer_primarily_a_tech_company_organization,is_your_primary_role_within_your_company_related_to_tech_it,does_your_employer_provide_mental_health_benefits_as_part_of_healthcare_coverage,do_you_know_the_options_for_mental_health_care_available_under_your_employer_provided_health_coverage,has_your_employer_ever_formally_discussed_mental_health_for_example_as_part_of_a_wellness_campaign_or_other_official_communication,does_your_employer_offer_resources_to_learn_more_about_mental_health_disorders_and_options_for_seeking_help,is_your_anonymity_protected_if_you_choose_to_take_advantage_of_mental_health_or_substance_abuse_treatment_resources_provided_by_your_employer,you_feel_more_comfortable_talking_to_your_coworkers_about_your_physical_health_or_your_mental_health,would_you_feel_comfortable_discussing_a_mental_health_issue_with_your_direct_supervisor_s,have_you_ever_discussed_your_mental_health_with_your_employer,would_you_feel_comfortable_discussing_a_mental_health_issue_with_your_coworkers,have_you_ever_discussed_your_mental_health_with_coworkers,overall_how_much_importance_does_your_employer_place_on_physical_health,overall_how_much_importance_does_your_employer_place_on_mental_health,do_you_have_medical_coverage_private_insurance_or_state_provided_that_includes_treatment_of_mental_health_disorders,do_you_know_local_or_online_resources_to_seek_help_for_a_mental_health_issue,do_you_believe_your_productivity_is_ever_affected_by_a_mental_health_issue,if_yes_what_percentage_of_your_work_time_time_performing_primary_or_secondary_job_functions_is_affected_by_a_mental_health_issue,have_you_had_a_mental_health_disorder_in_the_past,have_you_ever_sought_treatment_for_a_mental_health_disorder_from_a_mental_health_professional,do_you_have_a_family_history_of_mental_illness,have_your_observations_of_how_another_individual_who_discussed_a_mental_health_issue_made_you_less_likely_to_reveal_a_mental_health_issue_yourself_in_your_current_workplace,what_is_your_age,what_is_your_gender,what_is_your_race,survey_year
168,168,168,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,1,-1,,0,0,0,-1,20.0,0,,2017
169,169,169,1-5,0,0,-1,-1,1,1,2,0,2,0,2,1,8.0,8.0,-1,-1,-1,,1,1,1,2,36.0,1,,2017
170,170,170,100-500,1,1,2,0,0,0,2,1,0,1,0,1,4.0,4.0,-1,-1,-1,,1,1,1,2,30.0,1,,2017
171,171,171,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,0,1,51-75%,1,1,2,2,36.0,0,White,2017
172,172,172,6-25,1,1,0,-1,0,0,2,2,1,1,2,1,6.0,3.0,-1,-1,-1,,1,1,1,1,31.0,0,,2017
173,173,173,6-25,1,1,1,1,0,0,2,0,1,0,2,0,2.0,2.0,-1,-1,-1,,1,1,0,0,28.0,0,White,2017
174,174,174,26-100,0,1,1,1,0,1,2,2,1,0,2,0,7.0,5.0,-1,-1,-1,,0,0,2,0,28.0,0,White,2017
175,175,175,More than 1000,0,1,2,1,0,2,2,1,0,0,2,1,8.0,1.0,-1,-1,-1,,1,1,1,-1,25.0,1,,2017
176,176,176,26-100,1,1,2,0,0,0,2,0,1,0,1,1,5.0,5.0,-1,-1,-1,,1,1,2,0,30.0,0,,2017
177,177,177,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,1,1,1-25%,1,1,1,0,45.0,0,,2017
178,178,178,100-500,1,1,2,0,0,0,1,1,1,0,1,0,7.0,5.0,-1,-1,-1,,0,0,0,-1,31.0,0,,2017
179,179,179,100-500,1,1,0,0,0,0,1,0,0,0,2,1,7.0,0.0,-1,-1,-1,,0,0,0,0,36.0,0,,2017
180,180,180,6-25,1,1,2,0,0,0,1,1,1,1,2,1,7.0,7.0,-1,-1,-1,,0,0,1,0,37.0,0,,2017
181,181,181,26-100,1,1,1,1,0,2,1,0,1,1,2,0,7.0,7.0,-1,-1,-1,,0,0,0,0,37.0,0,I prefer not to answer,2017
182,182,182,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,0,1,26-50%,1,1,0,0,28.0,0,,2017
183,183,183,26-100,1,1,-1,1,0,0,1,1,2,1,2,1,0.0,2.0,-1,-1,-1,,1,1,0,0,37.0,0,,2017
184,184,184,26-100,1,1,0,-1,0,0,2,1,0,0,0,0,3.0,3.0,-1,-1,-1,,0,0,0,-1,37.0,0,,2017
185,185,185,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,1,1,26-50%,1,1,0,1,64.0,0,,2017
186,186,186,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,1,2,,0,1,0,1,34.0,1,,2017
187,187,187,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,0,1,1,26-50%,1,1,1,2,34.0,0,,2017
188,188,188,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,0,1,76-100%,0,0,1,-1,36.0,0,,2017
189,189,189,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,0,1,2,,0,0,0,-1,26.0,0,,2017
190,190,190,100-500,1,1,2,0,0,0,2,1,0,0,0,0,6.0,5.0,-1,-1,-1,,0,0,0,-1,33.0,0,,2017
191,191,191,500-1000,1,1,1,0,0,0,2,1,0,0,0,0,7.0,4.0,-1,-1,-1,,0,0,0,0,47.0,1,White,2017
192,192,192,100-500,1,0,2,0,1,1,2,1,2,0,2,1,7.0,9.0,-1,-1,-1,,1,1,2,0,24.0,1,White,2017
193,193,193,100-500,1,1,1,1,0,2,2,1,2,1,2,1,7.0,3.0,-1,-1,-1,,1,1,1,0,26.0,0,White,2017
194,194,194,More than 1000,1,1,1,1,1,1,1,1,2,0,2,1,5.0,5.0,-1,-1,-1,,1,1,2,0,37.0,0,,2017
195,195,195,More than 1000,1,1,1,1,1,0,0,1,0,1,1,1,7.0,4.0,-1,-1,-1,,1,1,2,0,29.0,0,White,2017
196,196,196,26-100,1,1,2,0,0,0,2,1,1,1,0,0,8.0,5.0,-1,-1,-1,,1,1,1,-1,33.0,1,White,2017
197,197,197,More than 1000,1,1,1,0,1,1,2,0,0,0,1,1,8.0,8.0,-1,-1,-1,,1,1,1,0,44.0,0,White,2017
198,198,198,More than 1000,1,1,1,1,1,1,2,0,1,0,2,0,8.0,6.0,-1,-1,-1,,1,1,1,0,34.0,1,White,2017
199,199,199,More than 1000,1,1,1,0,1,0,2,1,0,0,0,1,6.0,4.0,-1,-1,-1,,0,0,1,0,35.0,0,White,2017
200,200,200,100-500,1,1,1,1,0,2,2,0,1,1,1,0,7.0,7.0,-1,-1,-1,,1,1,2,2,32.0,uhhhhhhhhh fem genderqueer?,Asian,2017
201,201,201,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,0,1,51-75%,1,1,1,0,23.0,-1,,2017
202,202,202,More than 1000,1,1,1,0,0,1,2,1,1,1,2,0,3.0,2.0,-1,-1,-1,,1,0,1,0,31.0,0,,2017
203,203,203,100-500,1,1,1,1,0,0,1,1,1,0,2,1,6.0,6.0,-1,-1,-1,,1,1,1,0,30.0,0,White,2017
204,204,204,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,0,1,-1,,0,0,0,0,42.0,0,,2017
205,205,205,More than 1000,1,1,2,0,0,1,2,1,0,0,2,0,8.0,3.0,-1,-1,-1,,1,1,1,-1,26.0,1,White,2017
206,206,206,100-500,0,1,1,1,0,0,2,1,2,0,1,1,3.0,1.0,-1,-1,-1,,1,1,1,0,29.0,1,,2017
207,207,207,More than 1000,0,1,1,1,0,1,2,1,2,0,2,0,7.0,5.0,-1,-1,-1,,1,0,0,2,35.0,0,White,2017
208,208,208,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,0,0,,0,0,1,-1,31.0,0,,2017
209,209,209,More than 1000,1,1,2,0,2,2,2,1,2,0,0,0,8.0,3.0,-1,-1,-1,,2,0,1,-1,26.0,god king of the valajar,White,2017
210,210,210,100-500,1,1,2,0,0,2,2,0,1,0,0,0,6.0,6.0,-1,-1,-1,,1,1,1,0,30.0,0,White,2017
211,211,211,500-1000,0,1,1,1,0,0,1,0,1,0,0,0,9.0,5.0,-1,-1,-1,,2,0,1,0,39.0,0,White,2017
212,212,212,26-100,1,1,0,-1,0,2,1,1,1,0,2,0,9.0,8.0,-1,-1,-1,,0,0,0,-1,29.0,0,,2017
213,213,213,26-100,1,1,0,-1,0,0,2,1,1,0,1,0,3.0,0.0,-1,-1,-1,,0,0,2,2,27.0,0,,2017
214,214,214,26-100,1,1,0,-1,0,0,2,0,2,0,2,0,0.0,5.0,-1,-1,-1,,2,0,0,0,29.0,0,,2017
215,215,215,26-100,1,1,0,-1,0,0,2,1,1,0,1,0,4.0,4.0,-1,-1,-1,,0,0,1,0,43.0,0,,2017
216,216,216,6-25,1,1,0,0,0,0,2,1,1,0,1,0,6.0,5.0,-1,-1,-1,,0,0,0,0,31.0,0,,2017
217,217,217,26-100,1,1,0,0,0,0,0,1,1,0,1,0,7.0,8.0,-1,-1,-1,,0,0,0,0,27.0,1,,2017
218,218,218,26-100,1,1,1,0,0,1,2,0,1,1,1,0,5.0,7.0,-1,-1,-1,,0,0,1,0,36.0,0,,2017
219,219,219,500-1000,1,0,1,1,1,1,1,0,1,1,1,1,7.0,6.0,-1,-1,-1,,1,1,1,-1,44.0,1,White,2017
220,220,220,More than 1000,1,1,1,1,1,1,1,0,1,0,1,1,8.0,8.0,-1,-1,-1,,0,0,1,0,44.0,cis male,White,2017
221,221,221,More than 1000,1,1,1,1,0,1,1,1,1,1,1,1,10.0,10.0,-1,-1,-1,,1,1,0,0,27.0,1,More than one of the above,2017
222,222,222,More than 1000,1,1,1,1,1,1,1,0,1,1,1,1,8.0,7.0,-1,-1,-1,,1,1,1,0,42.0,1,White,2017
223,223,223,More than 1000,1,1,1,1,1,1,2,0,1,1,1,1,7.0,7.0,-1,-1,-1,,1,1,1,0,28.0,0,White,2017
224,224,224,6-25,0,1,1,1,1,1,1,1,2,0,2,1,8.0,7.0,-1,-1,-1,,1,1,0,1,43.0,0,White,2017
225,225,225,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,1,51-75%,1,1,2,-1,28.0,1,,2017
226,226,226,More than 1000,1,1,1,1,1,1,0,1,0,1,0,0,9.0,5.0,-1,-1,-1,,1,1,1,1,49.0,1,White,2017
227,227,227,6-25,1,1,2,0,0,0,2,0,2,0,2,0,5.0,5.0,-1,-1,-1,,1,1,2,2,32.0,0,,2017
228,228,228,100-500,1,1,2,0,0,2,2,1,2,0,2,0,2.0,2.0,-1,-1,-1,,2,0,2,1,33.0,0,I prefer not to answer,2017
229,229,229,6-25,1,0,0,1,0,0,2,0,0,0,0,0,7.0,4.0,-1,-1,-1,,1,0,1,0,45.0,0,I prefer not to answer,2017
230,230,230,26-100,1,1,2,0,0,2,2,1,0,0,2,0,7.0,5.0,-1,-1,-1,,1,1,2,-1,25.0,1,More than one of the above,2017
231,231,231,26-100,1,1,1,1,0,2,2,1,2,0,0,0,4.0,2.0,-1,-1,-1,,1,1,1,-1,42.0,0,White,2017
232,232,232,6-25,1,1,1,0,0,0,2,1,0,0,1,1,1.0,0.0,-1,-1,-1,,0,0,1,1,25.0,0,White,2017
233,233,233,100-500,1,1,1,0,0,2,2,1,2,1,2,1,6.0,2.0,-1,-1,-1,,0,1,1,0,25.0,1,White,2017
234,234,234,500-1000,1,0,1,1,1,1,2,1,2,0,1,0,7.0,5.0,-1,-1,-1,,1,0,1,-1,31.0,1,,2017
235,235,235,26-100,0,1,1,1,1,0,2,0,0,0,0,0,8.0,6.0,-1,-1,-1,,0,0,2,2,22.0,1,Asian,2017
236,236,236,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,0,1,1,26-50%,1,1,1,-1,33.0,1,White,2017
237,237,237,More than 1000,1,1,0,0,0,0,0,0,1,0,1,1,5.0,5.0,-1,-1,-1,,-1,0,1,0,40.0,0,,2017
238,238,238,26-100,1,1,2,0,0,0,2,0,2,0,1,1,10.0,8.0,-1,-1,-1,,2,1,2,-1,28.0,0,White,2017
239,239,239,100-500,1,1,2,0,0,2,2,1,1,0,2,0,2.0,2.0,-1,-1,-1,,1,0,2,-1,37.0,0,White,2017
240,240,240,More than 1000,1,1,1,0,0,0,2,1,0,0,0,1,9.0,1.0,-1,-1,-1,,1,1,2,1,35.0,0,,2017
241,241,241,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,1,1,1-25%,1,1,0,0,47.0,0,White,2017
242,242,242,26-100,1,1,2,0,0,0,2,1,2,0,2,0,7.0,4.0,-1,-1,-1,,2,0,1,0,20.0,0,,2017
243,243,243,More than 1000,1,0,1,0,0,0,0,1,0,0,2,0,10.0,7.0,-1,-1,-1,,1,0,0,0,27.0,1,,2017
244,244,244,100-500,0,1,1,1,1,1,1,1,0,1,0,0,9.0,5.0,-1,-1,-1,,1,0,0,1,62.0,1,White,2017
245,245,245,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,0,1,1,26-50%,0,0,0,-1,42.0,0,White,2017
246,246,246,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,1,1,26-50%,1,1,2,0,35.0,0,White,2017
247,247,247,26-100,1,1,2,0,0,2,2,1,2,1,0,1,8.0,3.0,-1,-1,-1,,1,0,2,-1,29.0,0,,2017
248,248,248,More than 1000,1,1,1,1,1,1,1,1,0,0,0,0,7.0,7.0,-1,-1,-1,,1,1,1,1,37.0,0,,2017
249,249,249,More than 1000,1,1,1,0,0,2,2,1,2,1,2,1,5.0,3.0,-1,-1,-1,,1,1,1,0,51.0,0,White,2017
250,250,250,More than 1000,0,1,1,1,1,1,1,1,1,0,2,1,8.0,8.0,-1,-1,-1,,1,1,1,0,60.0,0,White,2017
251,251,251,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,1,1,1-25%,1,1,2,1,30.0,1,White,2017
252,252,252,100-500,1,0,1,0,0,2,1,1,2,0,2,1,10.0,7.0,-1,-1,-1,,1,0,1,0,36.0,1,White,2017
253,253,253,26-100,1,1,2,0,2,2,2,0,1,1,2,0,7.0,7.0,-1,-1,-1,,1,1,2,0,38.0,0,White,2017
254,254,254,100-500,1,1,2,0,1,1,2,1,1,0,2,0,8.0,8.0,-1,-1,-1,,1,1,0,0,30.0,woman,,2017
255,255,255,100-500,1,0,2,0,1,1,2,1,1,1,1,1,5.0,5.0,-1,-1,-1,,1,1,1,0,35.0,0,,2017
256,256,256,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,1,1,1-25%,1,1,2,0,50.0,1,,2017
257,257,257,More than 1000,1,1,1,1,1,1,1,1,1,1,1,1,9.0,10.0,-1,-1,-1,,1,1,1,0,41.0,0,,2017
258,258,258,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,1,1,51-75%,1,1,1,-1,58.0,1,White,2017
259,259,259,1-5,0,1,2,0,0,0,2,0,2,0,2,0,8.0,7.0,-1,-1,-1,,0,1,0,-1,27.0,0,White,2017
260,260,260,100-500,0,1,0,0,0,0,1,1,1,0,1,1,5.0,6.0,-1,-1,-1,,1,1,0,0,53.0,0,,2017
261,261,261,6-25,0,1,1,0,0,0,2,1,0,0,2,0,3.0,2.0,-1,-1,-1,,2,0,2,0,42.0,1,White,2017
262,262,262,26-100,0,1,0,1,0,0,2,0,1,0,2,1,3.0,3.0,-1,-1,-1,,1,0,1,2,33.0,0,,2017
263,263,263,100-500,1,0,1,1,0,1,1,1,0,1,2,1,6.0,5.0,-1,-1,-1,,1,1,1,0,25.0,nonbinary,White,2017
264,264,264,6-25,1,1,2,0,0,2,1,1,1,1,2,0,6.0,5.0,-1,-1,-1,,0,1,1,-1,40.0,0,White,2017
265,265,265,6-25,0,1,1,1,0,1,1,0,1,0,1,1,10.0,5.0,-1,-1,-1,,1,1,1,0,25.0,0,More than one of the above,2017
266,266,266,100-500,1,1,2,0,0,0,2,1,0,0,2,0,6.0,3.0,-1,-1,-1,,0,0,0,2,49.0,1,White,2017
267,267,267,6-25,1,1,0,-1,0,0,0,0,0,0,2,1,3.0,0.0,-1,-1,-1,,1,1,1,1,44.0,1,White,2017
268,268,268,100-500,1,1,2,0,0,0,2,1,0,0,1,1,6.0,6.0,-1,-1,-1,,1,1,0,2,30.0,0,White,2017
269,269,269,100-500,1,0,1,0,2,2,2,1,2,0,0,0,5.0,6.0,-1,-1,-1,,1,0,1,0,28.0,0,White,2017
270,270,270,100-500,1,1,1,1,2,2,2,1,2,0,2,1,7.0,5.0,-1,-1,-1,,1,1,1,0,26.0,0,White,2017
271,271,271,26-100,1,1,1,0,1,1,1,1,1,1,1,1,7.0,7.0,-1,-1,-1,,1,1,1,2,31.0,0,,2017
272,272,272,6-25,1,1,1,0,0,0,0,0,1,1,1,1,4.0,6.0,-1,-1,-1,,1,1,1,0,32.0,0,White,2017
273,273,273,100-500,1,1,2,0,2,2,2,1,2,0,2,0,5.0,5.0,-1,-1,-1,,0,0,0,-1,24.0,0,White,2017
274,274,274,100-500,1,1,2,0,0,2,2,1,1,1,2,1,5.0,5.0,-1,-1,-1,,1,0,1,1,34.0,0,White,2017
275,275,275,100-500,1,1,1,1,0,2,1,1,1,1,2,1,7.0,4.0,-1,-1,-1,,1,1,1,0,31.0,1,White,2017
276,276,276,100-500,1,1,1,1,1,1,2,0,1,1,2,1,9.0,5.0,-1,-1,-1,,0,0,0,0,47.0,0,White,2017
277,277,277,100-500,1,1,1,0,0,2,1,1,2,0,2,0,8.0,6.0,-1,-1,-1,,0,0,2,0,59.0,0,White,2017
278,278,278,100-500,1,1,2,0,2,0,2,0,1,1,1,1,6.0,5.0,-1,-1,-1,,1,1,1,0,44.0,0,White,2017
279,279,279,100-500,1,1,0,0,0,0,2,1,0,0,0,0,3.0,2.0,-1,-1,-1,,0,0,0,0,26.0,0,White,2017
280,280,280,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,1,1,51-75%,1,1,0,0,43.0,0,White,2017
281,281,281,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,1,1-25%,2,0,2,2,39.0,0,,2017
282,282,282,1-5,1,1,2,0,1,0,1,0,1,1,1,1,5.0,8.0,-1,-1,-1,,2,0,2,-1,43.0,0,White,2017
283,283,283,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,1,1,26-50%,1,1,2,2,40.0,0,,2017
284,284,284,1-5,1,1,2,0,0,0,0,1,0,1,0,0,5.0,3.0,-1,-1,-1,,0,0,2,0,22.0,0,,2017
285,285,285,6-25,1,1,-1,-1,0,0,0,1,1,1,2,0,7.0,7.0,-1,-1,-1,,0,0,0,0,24.0,0,,2017
286,286,286,500-1000,1,1,2,0,0,2,2,1,0,0,2,1,8.0,5.0,-1,-1,-1,,1,1,1,-1,35.0,0,White,2017
287,287,287,26-100,1,0,2,0,0,0,0,1,1,0,2,1,8.0,5.0,-1,-1,-1,,0,0,0,2,40.0,0,White,2017
288,288,288,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,0,1,1-25%,1,1,1,0,26.0,0,,2017
289,289,289,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,1,1,1-25%,1,1,1,-1,23.0,0,,2017
290,290,290,100-500,0,1,2,0,0,0,1,1,1,0,2,1,5.0,4.0,-1,-1,-1,,1,1,1,0,30.0,0,White,2017
291,291,291,500-1000,0,1,1,1,2,2,1,1,2,0,1,0,9.0,5.0,-1,-1,-1,,0,0,2,0,37.0,0,White,2017
292,292,292,1-5,1,1,0,0,0,0,2,1,1,1,0,1,4.0,7.0,-1,-1,-1,,1,1,0,2,27.0,0,White,2017
293,293,293,100-500,1,1,1,1,0,1,1,1,0,0,2,0,5.0,2.0,-1,-1,-1,,1,1,2,0,42.0,0,White,2017
294,294,294,100-500,1,0,1,1,1,1,2,1,1,0,2,0,8.0,8.0,-1,-1,-1,,1,1,0,0,49.0,0,White,2017
295,295,295,26-100,1,1,1,0,0,2,2,1,1,0,2,0,7.0,7.0,-1,-1,-1,,1,1,2,-1,40.0,0,White,2017
296,296,296,100-500,1,0,1,1,0,1,1,1,1,1,2,1,5.0,8.0,-1,-1,-1,,1,1,1,0,26.0,1,White,2017
297,297,297,500-1000,1,1,1,1,1,1,1,0,1,0,1,1,8.0,7.0,-1,-1,-1,,1,1,1,0,29.0,0,White,2017
298,298,298,26-100,1,0,1,1,1,2,1,1,2,0,2,0,9.0,8.0,-1,-1,-1,,0,0,1,0,39.0,1,White,2017
299,299,299,More than 1000,0,1,1,1,2,2,1,1,1,1,2,1,6.0,5.0,-1,-1,-1,,1,1,1,1,40.0,0,White,2017
300,300,300,26-100,1,1,0,0,0,0,2,1,1,0,0,0,8.0,5.0,-1,-1,-1,,0,0,0,-1,23.0,0,,2017
301,301,301,26-100,1,1,2,0,2,2,2,1,2,0,0,0,9.0,8.0,-1,-1,-1,,0,0,0,1,50.0,0,I prefer not to answer,2017
302,302,302,More than 1000,0,1,1,1,1,1,1,1,2,0,2,0,6.0,4.0,-1,-1,-1,,1,1,0,0,35.0,0,White,2017
303,303,303,100-500,1,1,1,1,0,1,2,1,2,0,0,1,8.0,5.0,-1,-1,-1,,1,1,2,0,24.0,0,,2017
304,304,304,26-100,1,1,1,1,1,2,2,1,0,0,0,1,8.0,6.0,-1,-1,-1,,1,1,1,0,35.0,1,White,2017
305,305,305,26-100,1,1,2,0,0,0,1,1,1,0,0,0,10.0,10.0,-1,-1,-1,,1,0,2,0,36.0,0,White,2017
306,306,306,26-100,1,0,1,0,2,2,0,1,1,0,2,1,10.0,5.0,-1,-1,-1,,0,0,2,1,50.0,1,White,2017
307,307,307,26-100,1,1,2,0,0,2,2,1,2,0,1,0,6.0,5.0,-1,-1,-1,,0,0,0,-1,47.0,1,White,2017
308,308,308,26-100,1,0,1,0,0,0,2,1,2,0,2,0,6.0,7.0,-1,-1,-1,,0,0,0,0,30.0,0,White,2017
309,309,309,100-500,1,1,1,0,2,1,2,1,2,0,2,1,8.0,7.0,-1,-1,-1,,1,1,1,-1,30.0,0,White,2017
310,310,310,100-500,1,1,1,1,0,1,1,1,1,1,1,1,5.0,1.0,-1,-1,-1,,1,1,1,0,32.0,0,White,2017
311,311,311,100-500,1,0,1,1,1,1,1,1,2,1,2,1,8.0,10.0,-1,-1,-1,,1,1,1,0,38.0,-1,White,2017
312,312,312,26-100,1,1,2,0,0,0,2,0,2,0,1,1,6.0,5.0,-1,-1,-1,,1,1,1,0,38.0,0,White,2017
313,313,313,100-500,1,1,1,1,2,2,2,0,1,0,2,1,5.0,5.0,-1,-1,-1,,1,1,1,2,38.0,0,White,2017
314,314,314,More than 1000,1,1,1,1,2,1,1,1,1,0,2,1,8.0,8.0,-1,-1,-1,,0,0,0,-1,26.0,1,White,2017
315,315,315,More than 1000,1,1,1,1,0,0,0,1,0,0,0,0,3.0,0.0,-1,-1,-1,,1,1,1,1,45.0,1,White,2017
316,316,316,500-1000,1,1,1,1,1,1,1,1,2,0,0,0,5.0,5.0,-1,-1,-1,,2,0,0,2,37.0,1,Black or African American,2017
317,317,317,100-500,1,0,2,0,0,2,1,1,0,0,2,1,9.0,9.0,-1,-1,-1,,1,1,1,2,24.0,1,White,2017
318,318,318,100-500,1,1,1,1,1,1,1,1,1,1,2,1,9.0,9.0,-1,-1,-1,,1,1,1,0,33.0,1,White,2017
319,319,319,100-500,1,1,1,1,2,1,2,1,1,1,2,0,7.0,5.0,-1,-1,-1,,0,0,1,2,35.0,1,White,2017
320,320,320,100-500,1,1,1,1,0,1,1,0,1,1,1,1,6.0,8.0,-1,-1,-1,,1,1,1,0,44.0,0,White,2017
321,321,321,100-500,1,1,2,0,0,0,2,0,1,0,1,1,5.0,5.0,-1,-1,-1,,1,1,1,0,27.0,1,White,2017
322,322,322,100-500,1,0,1,0,0,1,2,1,0,0,2,0,5.0,5.0,-1,-1,-1,,0,0,0,0,33.0,0,White,2017
323,323,323,100-500,1,0,2,0,2,0,1,1,2,0,2,0,7.0,7.0,-1,-1,-1,,0,0,0,0,28.0,1,White,2017
324,324,324,More than 1000,0,1,1,1,2,2,1,1,2,0,2,1,7.0,6.0,-1,-1,-1,,2,1,1,2,35.0,0,White,2017
325,325,325,More than 1000,1,1,1,1,0,1,1,1,1,0,2,1,8.0,4.0,-1,-1,-1,,1,1,0,0,23.0,0,White,2017
326,326,326,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,1,1,26-50%,1,1,2,2,53.0,0,,2017
327,327,327,6-25,1,1,1,1,0,0,1,1,1,0,2,0,7.0,6.0,-1,-1,-1,,1,1,2,-1,32.0,0,,2017
328,328,328,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,1,1,51-75%,1,1,1,0,24.0,0,,2017
329,329,329,100-500,1,1,1,0,0,2,2,1,1,0,1,1,10.0,8.0,-1,-1,-1,,1,1,0,0,31.0,0,,2017
330,330,330,6-25,1,1,0,-1,0,0,2,0,1,1,1,1,6.0,6.0,-1,-1,-1,,1,0,2,-1,33.0,0,,2017
331,331,331,100-500,1,1,0,-1,0,0,1,0,1,1,1,1,7.0,5.0,-1,-1,-1,,1,1,0,0,37.0,0,,2017
332,332,332,6-25,1,1,2,0,0,0,2,1,2,0,0,0,9.0,3.0,-1,-1,-1,,0,0,0,0,27.0,0,,2017
333,333,333,6-25,1,1,1,0,0,2,0,1,1,1,1,1,7.0,7.0,-1,-1,-1,,0,0,0,0,31.0,0,,2017
334,334,334,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,0,1,1,26-50%,0,0,2,0,32.0,0,,2017
335,335,335,More than 1000,1,1,0,0,0,0,2,1,2,1,2,1,9.0,6.0,-1,-1,-1,,1,1,2,1,40.0,0,,2017
336,336,336,More than 1000,1,1,0,1,0,0,2,0,1,1,1,1,8.0,6.0,-1,-1,-1,,1,1,0,0,32.0,0,,2017
337,337,337,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,0,1,1,51-75%,2,1,2,1,31.0,0,,2017
338,338,338,100-500,1,1,1,0,1,1,1,2,1,0,1,1,8.0,8.0,-1,-1,-1,,1,1,1,2,33.0,0,White,2017
339,339,339,6-25,1,0,2,0,0,0,2,1,1,0,1,1,0.0,5.0,-1,-1,-1,,1,1,2,1,21.0,-1,White,2017
340,340,340,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,1,1,26-50%,1,1,0,2,67.0,1,White,2017
341,341,341,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,1,1,76-100%,1,1,1,0,35.0,cis-male,,2017
342,342,342,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,2,,0,0,2,2,46.0,0,,2017
343,343,343,More than 1000,0,1,1,0,0,2,2,1,0,0,2,1,6.0,5.0,-1,-1,-1,,1,1,2,1,36.0,0,White,2017
344,344,344,6-25,1,1,0,0,1,0,2,1,1,1,2,1,7.0,7.0,-1,-1,-1,,1,1,1,-1,44.0,1,,2017
345,345,345,More than 1000,0,1,1,0,1,1,1,1,1,0,2,0,9.0,9.0,-1,-1,-1,,2,0,2,0,57.0,0,White,2017
346,346,346,6-25,1,1,2,0,0,0,2,1,2,0,2,0,5.0,3.0,-1,-1,-1,,0,0,2,0,38.0,1,White,2017
347,347,347,100-500,1,1,1,0,0,0,2,0,1,0,1,1,9.0,8.0,-1,-1,-1,,1,1,1,2,27.0,1,,2017
348,348,348,More than 1000,0,1,-1,-1,1,1,1,0,1,1,1,1,5.0,7.0,-1,-1,-1,,1,1,1,0,26.0,0,,2017
